policy_생계급여,policy_의료급여,policy_주거급여,policy_교육급여,policy_공적연금,policy_고용보험,policy_산재보험,policy_자활근로,age,gender,household_size,marriage,edu,job_yn,employ_type,income_monthly,income_annual,region,hc,pension_type,health_insurance
0,0,0,0,0.0,0.0,0.0,0,42,남,4,기혼,대학이상,취업,상용근로자,790.2,9482.0,3,1,2,1
0,0,0,0,,,,0,13,남,4,미혼,대학이상,미취업,무직,790.2,9482.0,3,1,0,2
0,0,0,0,,,,0,8,남,4,미혼,대학이상,미취업,무직,790.2,9482.0,3,1,0,2
0,0,0,0,1.0,0.0,0.0,0,78,남,2,기혼,고졸이하,취업,임시일용근로자,223.4,2681.0,3,2,1,2
0,0,0,0,0.0,0.0,0.0,0,79,여,2,기혼,고졸이하,미취업,무직,223.4,2681.0,3,2,0,2
0,0,0,0,0.0,0.0,0.0,0,51,여,4,기혼,대학이상,취업,임시일용근로자,870.0,10440.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,46,남,4,기혼,대학이상,취업,상용근로자,630.2,7563.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,44,남,2,기혼,대학이상,취업,무급가족종사자,741.1,8893.0,3,1,2,3
0,0,0,0,0.0,0.0,0.0,0,50,남,4,기혼,대학이상,취업,상용근로자,870.0,10440.0,3,1,2,1
0,0,0,0,,,,0,19,남,4,미혼,대학이상,미취업,무직,870.0,10440.0,3,1,0,2
0,0,0,0,,,,0,17,여,4,미혼,대학이상,미취업,무직,870.0,10440.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,42,여,2,기혼,대학이상,취업,상용근로자,741.1,8893.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,38,여,4,기혼,대학이상,취업,임시일용근로자,630.2,7563.0,3,1,2,1
0,0,0,0,,,,0,11,여,4,미혼,대학이상,미취업,무직,630.2,7563.0,3,1,0,2
0,0,0,0,,,,0,9,남,4,미혼,대학이상,미취업,무직,630.2,7563.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,84,여,2,미혼,대학이상,취업,무급가족종사자,395.2,4743.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,53,남,2,미혼,대학이상,취업,임시일용근로자,395.2,4743.0,3,1,2,1
0,0,0,0,1.0,0.0,0.0,0,82,남,2,기혼,대학이상,미취업,무직,126.8,1521.0,3,2,1,2
0,0,0,0,0.0,0.0,0.0,0,80,여,2,기혼,대학이상,미취업,무직,126.8,1521.0,3,2,0,2
0,0,0,0,0.0,0.0,0.0,0,52,남,4,기혼,대학이상,취업,무급가족종사자,523.2,6278.0,3,1,2,3
0,0,0,0,0.0,0.0,0.0,0,52,여,4,기혼,대학이상,미취업,무직,523.2,6278.0,3,1,0,4
0,0,0,0,0.0,0.0,0.0,0,23,여,4,미혼,대학이상,취업,임시일용근로자,523.2,6278.0,3,1,0,4
0,0,0,0,0.0,0.0,0.0,0,22,여,4,미혼,대학이상,취업,임시일용근로자,523.2,6278.0,3,1,0,4
0,0,0,0,0.0,0.0,0.0,0,50,남,4,기혼,고졸이하,취업,무급가족종사자,270.0,3240.0,3,2,2,3
0,0,0,0,0.0,0.0,0.0,0,46,여,4,기혼,고졸이하,미취업,무직,270.0,3240.0,3,2,0,4
0,0,0,0,0.0,0.0,0.0,0,21,남,4,미혼,고졸이하,미취업,무직,270.0,3240.0,3,2,0,4
0,0,0,0,0.0,0.0,0.0,0,78,여,1,미혼,고졸이하,취업,고용원있는사업자,164.5,1974.0,3,2,0,2
0,0,0,0,,,,0,13,남,4,미혼,고졸이하,미취업,무직,270.0,3240.0,3,2,0,4
0,0,1,0,0.0,0.0,0.0,0,70,여,1,미혼,대학이상,미취업,무직,105.2,1262.0,3,2,0,3
0,0,0,0,0.0,0.0,0.0,0,42,여,4,기혼,대학이상,취업,무급가족종사자,640.5,7686.0,3,1,2,2
0,0,0,0,0.0,0.0,0.0,0,44,남,4,기혼,대학이상,취업,상용근로자,640.5,7686.0,3,1,2,1
0,0,0,0,,,,0,12,남,4,미혼,대학이상,미취업,무직,640.5,7686.0,3,1,0,2
0,0,0,0,,,,0,7,여,4,미혼,대학이상,미취업,무직,640.5,7686.0,3,1,0,2
1,1,1,0,0.0,0.0,0.0,0,80,여,1,미혼,고졸이하,미취업,무직,149.2,1791.0,3,2,0,5
0,0,0,0,0.0,0.0,0.0,0,53,여,3,미혼,대학이상,취업,상용근로자,1024.2,12291.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,30,여,3,미혼,대학이상,취업,상용근로자,1024.2,12291.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,28,여,3,미혼,대학이상,취업,상용근로자,1024.2,12291.0,3,1,2,1
0,0,0,0,1.0,0.0,0.0,0,66,남,2,기혼,고졸이하,취업,상용근로자,455.0,5460.0,3,1,1,1
0,0,0,0,0.0,0.0,0.0,0,62,여,2,기혼,고졸이하,미취업,무직,455.0,5460.0,3,1,4,2
0,0,0,0,0.0,0.0,0.0,0,39,남,4,기혼,고졸이하,취업,상용근로자,843.8,10125.0,2,1,2,1
0,0,0,0,0.0,0.0,0.0,0,41,여,4,기혼,고졸이하,미취업,무직,843.8,10125.0,2,1,0,2
0,0,0,0,,,,0,10,남,4,미혼,고졸이하,미취업,무직,843.8,10125.0,2,1,0,2
0,0,0,0,,,,0,8,여,4,미혼,고졸이하,미취업,무직,843.8,10125.0,2,1,0,2
0,0,0,0,0.0,0.0,0.0,0,52,남,4,기혼,대학이상,취업,상용근로자,1013.8,12165.0,3,1,2,1
0,0,0,0,1.0,0.0,0.0,0,79,여,1,미혼,고졸이하,미취업,무직,229.7,2756.0,3,1,1,2
0,0,0,0,0.0,0.0,0.0,0,51,여,4,기혼,대학이상,미취업,무직,1013.8,12165.0,3,1,0,2
0,0,0,0,,,,0,18,남,4,미혼,대학이상,미취업,무직,1013.8,12165.0,3,1,0,2
0,0,0,0,,,,0,12,남,4,미혼,대학이상,미취업,무직,1013.8,12165.0,3,1,0,2
0,0,0,0,1.0,0.0,0.0,0,70,남,2,기혼,대학이상,취업,무급가족종사자,350.9,4211.0,3,1,1,2
0,0,0,0,0.0,0.0,0.0,0,70,여,2,기혼,대학이상,미취업,무직,350.9,4211.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,48,여,1,미혼,대학이상,취업,상용근로자,428.8,5146.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,61,남,2,기혼,고졸이하,취업,무급가족종사자,365.2,4383.0,3,1,0,3
0,0,0,0,0.0,1.0,0.0,0,62,여,2,기혼,고졸이하,미취업,무직,365.2,4383.0,3,1,4,4
0,0,0,0,1.0,0.0,0.0,0,84,여,1,미혼,고졸이하,미취업,무직,110.8,1330.0,3,2,1,2
0,0,0,0,1.0,0.0,0.0,0,84,여,1,미혼,대학이상,미취업,무직,71.2,855.0,3,2,1,2
